variable,data_type,source_dataset,grain,vintage_as_of,vintage_confidence,description,notes
nu_network,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"school network affiliation (e.g. charter network), where applicable","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_category,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),org category classification,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_curriculum,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"curriculum type (e.g. IB, AP, national curriculum)","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_mean_sat,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"mean SAT score — stored as text; values observed as plain numbers (e.g. '1174'), not obviously bucketed, but not cast to numeric on load","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_number_of_ap_classes_offered,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"number of AP classes offered — CATEGORICAL RANGE BUCKET (e.g. '11-15', '06-10', 'greater than 20'), not a raw count","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_percent_federal_lunch_aid,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"% receiving federal lunch aid — CATEGORICAL RANGE BUCKET (e.g. '10% or fewer', '60-69%'), not a raw %","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_percent_first_gen_college,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"% first-generation college-bound — likely a categorical range bucket, same pattern as nu_percent_federal_lunch_aid (unverified sample)","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_percent_going_to_4yr_college,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"% going to 4-year college — CATEGORICAL RANGE BUCKET (e.g. '90% or more', '80-89%'), not a raw %","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_percent_going_to_college,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"% going to any college — likely a categorical range bucket, same pattern (unverified sample)","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_phone,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),org phone number,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_setting,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),urban/suburban/rural setting (org profile),"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_size_of_senior_class,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"senior class size — CATEGORICAL RANGE BUCKET (e.g. '101-500', 'More than 1000'), not a raw count","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_type,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),"org type (public/private/parochial/etc., per Bob's taxonomy)","Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_website,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),org website URL,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_street_1,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),street address line 1,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_street_2,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),street address line 2,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_street_3,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),street address line 3,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_city,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),city (org profile),"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_county,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),county (org profile),"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_region,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),state/region (org profile),"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_postal,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),postal/ZIP code (org profile),"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_country,text,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),country,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_latitude,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),latitude,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
nu_longitude,double precision,"Bob's NU Admissions org export (Capstone Org Data, College-Board/Naviance-style)",school (org),File exported 2026-06-24 (from source filename timestamp) — no per-variable vintage stated inside the file itself,confirmed (export date only),longitude,"Source file gives no date for when each underlying stat (SAT avg, AP participation, etc.) was measured — flagged as an open question for Bob."
ceeb_suspected_padding_shift,boolean,Derived in etl/load_nu_master.py,school,"n/a (derived flag, added 2026-07-17)",derived,"True if this row's CEEB has a same-file counterpart CEEB related by an exact leading-zero/trailing-zero digit shift (e.g. 050003 vs 500030) -- the signature of a zero-padded code stored as a number upstream and re-padded on the wrong side. Flagged, not corrected -- no reliable way to tell which side of a pair is right. 644 rows flagged file-wide; 62 confirmed via an independent custom_id collision (see nu_custom_id above).",
ceeb_fanout_resolved,boolean,derived (ETL — combine_schools.py resolve_ceeb_ties),school,derived at build time,high,"Flag: this row's CEEB was shared by more than one school and resolved during the CEEB fan-out dedup (canonical row kept, duplicates had their CEEB nulled).","QA/lineage flag, not a source field. See resolve_ceeb_ties() in combine_schools.py."
nu_ceeb_suspected_padding_shift,boolean,"derived (ETL — load_nu_master.py flag_ceeb_padding_shift), NU-master org side",org,derived at build time,high,"Flag: org-side CEEB suspected of a leading-zero/trailing-zero padding shift (a zero-padded 6-digit code stored as a number upstream, then re-padded on the wrong side). Flagged, not corrected.",Basis for the 62 confirmed pairs raised in the 2026-07-28 meeting: 62 pairs independently confirmed via custom_id duplicate collisions.
